,Metropolitan area,Population (2016 est.)[8],NHL,team
0,New York City,20153634,RangersIslandersDevils[note 3],New York Islanders
1,Los Angeles,13310447,KingsDucks,Los Angeles Kings*
2,San Francisco Bay Area,6657982,Sharks[note 7],San Jose Sharks*
3,Chicago,9512999,Blackhawks,Chicago Blackhawks
4,Dallas–Fort Worth,7233323,Stars,Dallas Stars
5,"Washington, D.C.",6131977,Capitals,Washington Capitals*
6,Philadelphia,6070500,Flyers[note 13],Philadelphia Flyers*
7,Boston,4794447,Bruins,Boston Bruins*
8,Minneapolis–Saint Paul,3551036,Wild[note 16],Minnesota Wild*
9,Denver,2853077,Avalanche[note 18],Colorado Avalanche*
10,Miami–Fort Lauderdale,6066387,Panthers,Florida Panthers
11,Phoenix,4661537,Coyotes,Arizona Coyotes
12,Detroit,4297617,Red Wings,Detroit Red Wings
13,Toronto,5928040,Maple Leafs,Toronto Maple Leafs*
16,Tampa Bay Area,3032171,Lightning,Tampa Bay Lightning*
17,Pittsburgh,2342299,Penguins[note 28],Pittsburgh Penguins*
22,St. Louis,2807002,Blues[note 43],St. Louis Blues
26,Nashville,1865298,Predators,Nashville Predators*
29,Buffalo,1132804,Sabres,Buffalo Sabres
30,Montreal,4098927,Canadiens,Montreal Canadiens
31,Vancouver,2463431,Canucks,Vancouver Canucks
34,Columbus,2041520,Blue Jackets,Columbus Blue Jackets*
35,Calgary,1392609,Flames,Calgary Flames
36,Ottawa,1323783,Senators,Ottawa Senators
37,Edmonton,1321426,Oilers,Edmonton Oilers
39,Winnipeg,778489,Jets[note 61],Winnipeg Jets*
43,Las Vegas,2155664,Golden Knights,Vegas Golden Knights*
47,Raleigh,1302946,Hurricanes,Carolina Hurricanes
